                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.0026,                0.98703,                 1.4336,                0.82328,                 0.7905,                0.86428,                0.55662,                 1.1889,                0.76504,                  1.553,               0.005446,               0.005446,               0.005446
                     94,                 1.0221,                0.99025,                 1.4266,                0.83554,                0.78492,                0.85957,                 0.5547,                 1.1721,                0.76193,                   1.53,              0.0053965,              0.0053965,              0.0053965
                     95,                0.99047,                0.96399,                 1.4171,                0.81885,                0.79469,                0.85955,                0.55579,                  1.165,                0.77345,                  1.524,               0.005347,               0.005347,               0.005347
                     96,                0.99699,                0.96846,                 1.4168,                0.82622,                0.75978,                0.84779,                0.54289,                 1.1891,                0.80368,                 1.5397,              0.0052975,              0.0052975,              0.0052975
                     97,                0.98881,                0.96338,                 1.4107,                0.81545,                0.78911,                0.86264,                0.55932,                 1.1659,                0.75665,                 1.5234,               0.005248,               0.005248,               0.005248
                     98,                 1.0042,                 0.9686,                 1.4344,                 0.7997,                0.80855,                0.85771,                0.54859,                 1.1819,                0.79282,                 1.5431,              0.0051985,              0.0051985,              0.0051985
                     99,                0.99733,                0.96022,                 1.4157,                0.84475,                0.78352,                0.86093,                0.55635,                 1.1774,                0.77996,                 1.5339,               0.005149,               0.005149,               0.005149
                    100,                 0.9811,                0.95481,                 1.4078,                  0.835,                0.78451,                0.85635,                0.55704,                 1.1857,                0.78077,                  1.543,              0.0050995,              0.0050995,              0.0050995
                    101,                 0.9676,                 0.9508,                 1.3989,                0.83502,                 0.7933,                0.86554,                0.56081,                 1.1748,                0.76205,                 1.5345,                0.00505,                0.00505,                0.00505
                    102,                0.97014,                0.93495,                 1.4008,                0.84144,                0.78631,                0.85679,                0.55403,                 1.1761,                0.76827,                 1.5441,              0.0050005,              0.0050005,              0.0050005
                    103,                0.99617,                0.95719,                 1.4108,                0.82404,                0.79798,                0.85449,                0.54968,                 1.1802,                0.78441,                 1.5411,               0.004951,               0.004951,               0.004951
                    104,                0.97607,                0.93755,                 1.4039,                0.85767,                0.74904,                0.85273,                0.54424,                 1.1799,                0.78972,                 1.5299,              0.0049015,              0.0049015,              0.0049015
                    105,                0.96075,                0.94671,                 1.4003,                0.85552,                0.74721,                0.85577,                0.55765,                 1.1629,                0.77549,                 1.5302,               0.004852,               0.004852,               0.004852
                    106,                0.96923,                0.93204,                  1.394,                0.82831,                0.80866,                0.87306,                0.56583,                 1.1744,                0.74749,                  1.547,              0.0048025,              0.0048025,              0.0048025
                    107,                 0.9635,                 0.9308,                 1.4039,                0.83685,                  0.788,                0.86782,                0.55641,                  1.173,                0.76563,                 1.5408,               0.004753,               0.004753,               0.004753
                    108,                0.96727,                0.94317,                  1.393,                0.87075,                0.76536,                0.85986,                0.55242,                 1.1885,                0.78756,                 1.5398,              0.0047035,              0.0047035,              0.0047035
                    109,                0.95765,                 0.9153,                 1.3884,                0.80312,                0.80329,                0.86566,                0.56241,                  1.182,                0.77703,                 1.5358,               0.004654,               0.004654,               0.004654
                    110,                0.94269,                0.91226,                 1.3825,                0.79715,                0.80587,                0.85649,                0.55195,                 1.1809,                0.78516,                 1.5421,              0.0046045,              0.0046045,              0.0046045
                    111,                0.96269,                0.92906,                 1.3915,                0.82416,                0.82402,                0.86886,                0.55898,                  1.175,                0.76078,                 1.5307,               0.004555,               0.004555,               0.004555
                    112,                0.94816,                0.91237,                 1.3795,                0.82617,                0.80318,                0.86067,                0.55216,                 1.1672,                0.77537,                 1.5376,              0.0045055,              0.0045055,              0.0045055
                    113,                0.94672,                0.91179,                 1.3741,                0.82347,                0.79469,                0.86498,                 0.5523,                 1.1831,                0.76713,                 1.5323,               0.004456,               0.004456,               0.004456
                    114,                0.95123,                0.90694,                 1.3796,                0.83372,                0.77095,                0.85677,                0.54514,                 1.1976,                0.79665,                 1.5394,              0.0044065,              0.0044065,              0.0044065
                    115,                0.94713,                0.91517,                 1.3697,                0.80554,                0.80028,                0.85853,                0.55592,                 1.1763,                0.78178,                 1.5332,               0.004357,               0.004357,               0.004357
                    116,                0.93744,                0.89747,                 1.3624,                0.82617,                0.78073,                0.86038,                0.55029,                 1.1863,                0.78954,                 1.5458,              0.0043075,              0.0043075,              0.0043075
                    117,                0.94588,                0.90099,                 1.3686,                0.82727,                0.79599,                0.86436,                0.55085,                 1.1954,                0.78085,                 1.5421,               0.004258,               0.004258,               0.004258
                    118,                0.94746,                0.90173,                  1.375,                0.82377,                 0.7769,                 0.8642,                0.55214,                  1.193,                0.76586,                 1.5324,              0.0042085,              0.0042085,              0.0042085
                    119,                0.94126,                0.89361,                 1.3647,                0.83313,                0.78797,                0.86436,                0.55165,                 1.1872,                0.76911,                 1.5265,               0.004159,               0.004159,               0.004159
                    120,                0.93626,                0.89835,                 1.3651,                0.87964,                0.75419,                0.86129,                0.55626,                 1.1797,                0.78696,                 1.5284,              0.0041095,              0.0041095,              0.0041095
                    121,                0.93191,                0.87857,                 1.3526,                0.85437,                0.77021,                0.86454,                0.55863,                 1.1856,                0.76125,                 1.5422,                0.00406,                0.00406,                0.00406
                    122,                0.91204,                0.87496,                 1.3516,                0.82442,                0.80007,                0.86443,                0.55796,                 1.1921,                0.76689,                 1.5478,              0.0040105,              0.0040105,              0.0040105
                    123,                0.93397,                0.88235,                 1.3605,                0.85934,                0.78499,                0.86267,                0.55982,                 1.1834,                0.75476,                 1.5416,               0.003961,               0.003961,               0.003961
                    124,                0.90992,                0.87158,                  1.351,                0.83944,                0.78859,                0.86527,                0.55822,                 1.1884,                0.76421,                 1.5439,              0.0039115,              0.0039115,              0.0039115
                    125,                0.92306,                 0.8671,                 1.3567,                0.84285,                0.77153,                0.85915,                 0.5523,                 1.1925,                0.79479,                 1.5431,               0.003862,               0.003862,               0.003862
                    126,                0.91041,                0.86634,                  1.343,                0.84103,                0.75978,                0.84992,                0.54987,                 1.1947,                0.80597,                 1.5452,              0.0038125,              0.0038125,              0.0038125
