                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.0721,                 1.0706,                 1.4398,                0.84734,                0.81006,                0.87361,                0.55607,                 1.1838,                0.76712,                 1.4895,               0.006964,               0.006964,               0.006964
                     94,                 1.0938,                 1.0692,                 1.4458,                0.79712,                 0.8352,                0.87462,                0.56031,                 1.1626,                0.76446,                 1.4688,               0.006931,               0.006931,               0.006931
                     95,                 1.0652,                 1.0521,                 1.4334,                0.83973,                0.80168,                0.86234,                0.54862,                 1.1931,                 0.7829,                  1.496,               0.006898,               0.006898,               0.006898
                     96,                 1.0688,                  1.045,                 1.4391,                0.82461,                0.80109,                0.86016,                0.55328,                 1.1775,                 0.7898,                 1.4793,               0.006865,               0.006865,               0.006865
                     97,                 1.0586,                 1.0491,                 1.4251,                0.82114,                0.77583,                0.85048,                0.54527,                 1.1913,                0.80568,                 1.4908,               0.006832,               0.006832,               0.006832
                     98,                 1.0688,                 1.0532,                 1.4392,                0.84341,                0.77095,                0.85569,                0.55127,                 1.1948,                0.78547,                 1.4904,               0.006799,               0.006799,               0.006799
                     99,                 1.0692,                 1.0352,                 1.4354,                0.83893,                0.78631,                0.85966,                0.54765,                 1.1952,                0.78996,                 1.4912,               0.006766,               0.006766,               0.006766
                    100,                 1.0425,                 1.0381,                 1.4198,                0.84144,                0.79307,                0.86671,                0.55186,                 1.1949,                0.77102,                 1.4965,               0.006733,               0.006733,               0.006733
                    101,                 1.0405,                 1.0355,                 1.4146,                0.84707,                0.76586,                0.85383,                0.55025,                  1.183,                0.79386,                 1.4845,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0425,                  1.045,                 1.4158,                0.84902,                0.81425,                 0.8738,                0.56194,                 1.1738,                0.75132,                  1.477,               0.006667,               0.006667,               0.006667
                    103,                 1.0604,                 1.0479,                 1.4187,                0.81303,                0.82542,                0.86522,                0.55951,                 1.1751,                0.77265,                 1.4716,               0.006634,               0.006634,               0.006634
                    104,                 1.0468,                 1.0175,                 1.4165,                0.85606,                0.78073,                0.86428,                 0.5621,                 1.1757,                0.74913,                 1.4735,               0.006601,               0.006601,               0.006601
                    105,                 1.0364,                 1.0453,                 1.4201,                0.86482,                0.76841,                0.86704,                0.55978,                 1.1647,                0.75219,                 1.4599,               0.006568,               0.006568,               0.006568
                    106,                 1.0426,                 1.0202,                 1.4092,                  0.844,                0.79749,                0.86218,                0.56281,                 1.1791,                0.75347,                 1.4763,               0.006535,               0.006535,               0.006535
                    107,                 1.0407,                 1.0208,                 1.4169,                0.85077,                 0.7803,                 0.8661,                0.55886,                 1.1801,                0.74785,                 1.4643,               0.006502,               0.006502,               0.006502
                    108,                 1.0329,                 1.0426,                 1.4077,                0.83207,                 0.7905,                0.86616,                 0.5515,                 1.1837,                 0.7593,                 1.4846,               0.006469,               0.006469,               0.006469
                    109,                 1.0329,                 1.0082,                 1.4092,                0.83205,                 0.7905,                 0.8605,                0.56084,                  1.177,                0.75412,                 1.4744,               0.006436,               0.006436,               0.006436
                    110,                 1.0226,                0.99764,                 1.4042,                0.82494,                0.82263,                0.86914,                0.56286,                 1.1758,                0.74127,                 1.4719,               0.006403,               0.006403,               0.006403
                    111,                 1.0321,                 1.0156,                 1.4115,                0.81192,                0.81996,                0.86468,                0.56147,                 1.1691,                0.75128,                 1.4827,                0.00637,                0.00637,                0.00637
                    112,                 1.0264,                 1.0024,                 1.3998,                0.84552,                0.79469,                0.86419,                0.55704,                 1.1838,                0.75332,                 1.4785,               0.006337,               0.006337,               0.006337
                    113,                 1.0252,                  1.005,                 1.3964,                0.83672,                0.81844,                0.87602,                0.55941,                  1.179,                 0.7488,                 1.4721,               0.006304,               0.006304,               0.006304
                    114,                 1.0248,                0.99294,                  1.402,                0.82544,                 0.8057,                0.86446,                0.55676,                 1.1883,                0.77211,                 1.4845,               0.006271,               0.006271,               0.006271
                    115,                 1.0172,                 1.0084,                 1.3918,                0.83426,                0.80847,                0.87471,                0.56638,                 1.1755,                0.74009,                 1.4724,               0.006238,               0.006238,               0.006238
                    116,                  1.021,                0.99169,                 1.3881,                0.83764,                0.80703,                 0.8723,                0.56331,                 1.1779,                0.73041,                 1.4762,               0.006205,               0.006205,               0.006205
                    117,                 1.0264,                 1.0022,                 1.3945,                0.82595,                0.80307,                0.86484,                0.56135,                 1.1886,                0.75578,                 1.4757,               0.006172,               0.006172,               0.006172
                    118,                 1.0268,                0.99215,                 1.3985,                0.86213,                0.77728,                0.86933,                0.56089,                  1.186,                0.74023,                 1.4816,               0.006139,               0.006139,               0.006139
                    119,                 1.0103,                0.99275,                 1.3849,                0.85546,                0.77654,                0.86996,                0.55943,                 1.1792,                0.75835,                 1.4695,               0.006106,               0.006106,               0.006106
                    120,                 1.0069,                0.99617,                 1.3836,                0.83107,                0.81075,                0.87158,                0.57007,                  1.164,                0.74551,                 1.4596,               0.006073,               0.006073,               0.006073
                    121,                 1.0039,                0.97987,                 1.3709,                 0.8424,                0.77793,                0.86202,                0.56408,                 1.1609,                0.75381,                 1.4625,                0.00604,                0.00604,                0.00604
                    122,                0.99541,                0.98126,                 1.3763,                0.86071,                0.80307,                0.87105,                0.56816,                 1.1645,                0.73345,                 1.4558,               0.006007,               0.006007,               0.006007
                    123,                 1.0128,                0.98303,                 1.3817,                0.84766,                0.80307,                0.87067,                0.56691,                 1.1805,                0.72759,                 1.4804,               0.005974,               0.005974,               0.005974
                    124,                 0.9912,                0.97617,                 1.3739,                0.84088,                0.82663,                0.87692,                0.56621,                 1.1658,                0.72467,                 1.4627,               0.005941,               0.005941,               0.005941
                    125,                 1.0045,                0.97363,                 1.3787,                0.84025,                0.81544,                0.87457,                0.56964,                 1.1682,                0.72939,                 1.4562,               0.005908,               0.005908,               0.005908
